CODED_ID,SCHOOL_ID,GRADE,GENDER,FNR_STATUS_CODE,FNR_STATUS_DESCRIPTION,SINGLE_ETHNICITY,LEP_CODE,LEP_DESCRIPTION,PRIM_EX_CODE,PRIM_EX,OTHER_EX_CODES,OTHER_EX,GIFTED,ESE,HOMELESS_CODE,HOMELESS_CAUSE,HOMELESS_UNAC_YTH,GIFTED_ELIG,S504,PRIM_HOME_LANG,LNF,PSF,NWF_Letter,NWF_Word,ORF_WC,UnifiedScore,FAST_Equivalent_Score,PR,NCE,Overall_Scale_Score,Phonological_Awareness_Scale_Score,Phonics_Scale_Score,Vocabulary_Scale_Score,FAST_PM3_AchievementLevel,iReady_Spring_Placement
1211942,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,54.0,21.0,39.0,10.0,10.0,716.0,109.0,25.0,35.8,391.0,376.0,371.0,407.0,Level 3,Early On Grade Level
1211943,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,17.0,9.0,18.0,1.0,0.0,730.0,114.0,33.0,40.7,383.0,380.0,390.0,345.0,Level 1,1 Grade Level Below
1211950,101,1,M,3,Eligible for Reduced Lunch [3],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,22.0,34.0,36.0,11.0,4.0,792.0,135.0,67.0,59.3,405.0,353.0,412.0,475.0,Level 2,1 Grade Level Below
1211998,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,77.0,26.0,62.0,843.0,152.0,39.0,44.1,464.0,,478.0,467.0,Level 2,Mid or Above Grade Level
1212002,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,25.0,26.0,21.0,5.0,2.0,746.0,119.0,44.0,46.8,406.0,402.0,378.0,397.0,Level 2,Early On Grade Level
1212003,101,1,M,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,26.0,31.0,14.0,1.0,1.0,651.0,87.0,8.0,20.4,379.0,375.0,383.0,331.0,Level 1,1 Grade Level Below
1212011,101,1,F,0,Paid Lunch [0],White,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,34.0,37.0,32.0,10.0,9.0,828.0,147.0,79.0,67.0,412.0,399.0,395.0,436.0,Level 5,Mid or Above Grade Level
1212082,101,2,M,0,Paid Lunch [0],Hispanic,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,55.0,16.0,56.0,769.0,127.0,14.0,27.2,410.0,,459.0,409.0,Level 3,Early On Grade Level
1212114,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,Y,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,53.0,38.0,110.0,38.0,67.0,952.0,189.0,98.0,93.3,459.0,459.0,461.0,439.0,Level 3,Mid or Above Grade Level
1212116,101,1,M,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,48.0,33.0,25.0,8.0,19.0,887.0,167.0,92.0,79.6,430.0,451.0,431.0,455.0,Level 4,Mid or Above Grade Level
1212117,101,1,F,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,50.0,25.0,83.0,23.0,54.0,859.0,158.0,87.0,73.7,449.0,442.0,425.0,445.0,Level 4,Mid or Above Grade Level
1212118,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,38.0,33.0,42.0,14.0,5.0,705.0,106.0,21.0,33.0,391.0,391.0,364.0,412.0,Level 2,1 Grade Level Below
1212160,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,32.0,20.0,18.0,3.0,4.0,760.0,124.0,53.0,51.6,377.0,389.0,421.0,393.0,Level 4,Mid or Above Grade Level
1212206,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],T,T - Developmentally Delayed,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,0.0,0.0,0.0,0.0,0.0,586.0,65.0,1.0,1.0,412.0,414.0,405.0,427.0,Level 1,1 Grade Level Below
1212208,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,29.0,17.0,29.0,8.0,9.0,740.0,117.0,40.0,44.7,403.0,396.0,395.0,392.0,Level 2,Early On Grade Level
1212246,101,2,M,F,Eligible for Free Lunch [F],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,35.0,9.0,9.0,758.0,124.0,11.0,24.2,410.0,434.0,415.0,427.0,Level 2,1 Grade Level Below
1212261,101,2,M,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,Y,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,112.0,35.0,127.0,924.0,180.0,72.0,62.3,535.0,,530.0,517.0,Level 4,Mid or Above Grade Level
1212276,101,1,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,49.0,34.0,42.0,10.0,4.0,783.0,132.0,63.0,57.0,391.0,437.0,442.0,365.0,Level 2,Early On Grade Level
